//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-26-2020
//--  Time: 11:29
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 42200.0 Ohms
//--    Temperature1: 68.0(F), 	Resistance 1: 41500.0 Ohms 
//--    Temperature2: 122.0(F), 	Resistance 2: 11850.0 Ohms 
//--    Temperature3: 185.0(F), 	Resistance 3: 3500.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
561	59.79	598 	2.739
562	59.64	596 	2.744
563	59.49	595 	2.749
564	59.33	593 	2.754
565	59.18	592 	2.759
566	59.03	590 	2.764
567	58.88	589 	2.769
568	58.73	587 	2.773
569	58.58	586 	2.778
570	58.42	584 	2.783
571	58.27	583 	2.788
572	58.12	581 	2.793
573	57.97	580 	2.798
574	57.82	578 	2.803
575	57.67	577 	2.808
576	57.52	575 	2.813
577	57.36	574 	2.817
578	57.21	572 	2.822
579	57.06	571 	2.827
580	56.91	569 	2.832
581	56.76	568 	2.837
582	56.61	566 	2.842
583	56.46	565 	2.847
584	56.30	563 	2.852
585	56.15	562 	2.856
586	56.00	560 	2.861
587	55.85	559 	2.866
588	55.70	557 	2.871
589	55.55	555 	2.876
590	55.40	554 	2.881
591	55.24	552 	2.886
592	55.09	551 	2.891
593	54.94	549 	2.896
594	54.79	548 	2.900
595	54.64	546 	2.905
596	54.49	545 	2.910
597	54.34	543 	2.915
598	54.18	542 	2.920
599	54.03	540 	2.925
600	53.88	539 	2.930
601	53.73	537 	2.935
602	53.58	536 	2.939
603	53.43	534 	2.944
604	53.27	533 	2.949
605	53.12	531 	2.954
606	52.97	530 	2.959
607	52.82	528 	2.964
608	52.67	527 	2.969
609	52.51	525 	2.974
610	52.36	524 	2.979
611	52.21	522 	2.983
612	52.06	521 	2.988
613	51.91	519 	2.993
614	51.75	518 	2.998
615	51.60	516 	3.003
616	51.45	514 	3.008
617	51.30	513 	3.013
618	51.14	511 	3.018
619	50.99	510 	3.022
620	50.84	508 	3.027
621	50.69	507 	3.032
622	50.53	505 	3.037
623	50.38	504 	3.042
624	50.23	502 	3.047
625	50.08	501 	3.052
626	49.92	499 	3.057
627	49.77	498 	3.062
628	49.62	496 	3.066
629	49.46	495 	3.071
630	49.31	493 	3.076
631	49.16	492 	3.081
632	49.01	490 	3.086
633	48.85	489 	3.091
634	48.70	487 	3.096
635	48.55	485 	3.101
636	48.39	484 	3.105
637	48.24	482 	3.110
638	48.08	481 	3.115
639	47.93	479 	3.120
640	47.78	478 	3.125
641	47.62	476 	3.130
642	47.47	475 	3.135
643	47.32	473 	3.140
644	47.16	472 	3.145
645	47.01	470 	3.149
646	46.85	469 	3.154
647	46.70	467 	3.159
648	46.54	465 	3.164
649	46.39	464 	3.169
650	46.24	462 	3.174
651	46.08	461 	3.179
652	45.93	459 	3.184
653	45.77	458 	3.188
654	45.62	456 	3.193
655	45.46	455 	3.198
656	45.31	453 	3.203
657	45.15	452 	3.208
658	44.99	450 	3.213
659	44.84	448 	3.218
660	44.68	447 	3.223
661	44.53	445 	3.228
662	44.37	444 	3.232
663	44.22	442 	3.237
664	44.06	441 	3.242
665	43.90	439 	3.247
666	43.75	437 	3.252
667	43.59	436 	3.257
668	43.43	434 	3.262
669	43.28	433 	3.267
670	43.12	431 	3.271
671	42.96	430 	3.276
672	42.81	428 	3.281
673	42.65	427 	3.286
674	42.49	425 	3.291
675	42.34	423 	3.296
676	42.18	422 	3.301
677	42.02	420 	3.306
678	41.86	419 	3.311
679	41.70	417 	3.315
680	41.55	415 	3.320
681	41.39	414 	3.325
682	41.23	412 	3.330
683	41.07	411 	3.335
684	40.91	409 	3.340
685	40.75	408 	3.345
686	40.59	406 	3.350
687	40.44	404 	3.354
688	40.28	403 	3.359
689	40.12	401 	3.364
690	39.96	400 	3.369
691	39.80	398 	3.374
692	39.64	396 	3.379
693	39.48	395 	3.384
694	39.32	393 	3.389
695	39.16	392 	3.394
696	39.00	390 	3.398
697	38.84	388 	3.403
698	38.67	387 	3.408
699	38.51	385 	3.413
700	38.35	384 	3.418
701	38.19	382 	3.423
702	38.03	380 	3.428
703	37.87	379 	3.433
704	37.71	377 	3.438
705	37.54	375 	3.442
706	37.38	374 	3.447
707	37.22	372 	3.452
708	37.06	371 	3.457
709	36.89	369 	3.462
710	36.73	367 	3.467
711	36.57	366 	3.472
712	36.40	364 	3.477
713	36.24	362 	3.481
714	36.08	361 	3.486
